ID,Age,Income,Score,Gender,Department,JoinDate,Satisfaction
1,63,*,-,Male,Finance,1/3/2022,1
2,20,46433, ,,-,22/7/2021,5
3,46,46166,75,Female,NA,30/5/2023,1
4,52,35432,60,Male,NA,15/4/2022,5
5,56,32495,90,Female,IT,18/2/2023,2
6,35,37582,89,Male,HR,20/5/2020,3
7,37,39242,95,Female,Marketing,4/5/2021,5
8,60,25971,64,Female,*,19/10/2020,5
9,40,40549,4,Female,Marketing,18/8/2020,4
10,51,*,0,Female,HR,1/9/2022,4
11,50,37678,9,NA,IT,14/7/2023,3
12,,18013,33,Male, ,9/1/2021,1
13,50,48073,47,Female,-,2/9/2021,3
14,64,32584, ,Female,Operations,2/2/2024,4
15,50,60440,70,Female,Operations,29/8/2020,2
16,43,46237,8,Male,HR,30/3/2021,3
17,37,35940,70,Female,Sales,25/12/2022,3
18,32,54576,9,,HR,22/11/2021,4
19,54,36537,4,Female,IT,30/5/2021,4
20,50,34851,38,Female,HR,15/8/2022,2
21,34,14350,27,*,HR,7/6/2021,*
22,*,38524,*,*,Marketing,15/5/2022,*
23,21,26894,100,Male,IT,27/9/2022,5
24,20,35853,0,Male,HR,19/3/2022,5
25,38,33693,14,NA,NA,9/8/2024,4
26,57,*,75,Female,Operations,28/9/2020,3
27,20,55260,4,Male,Sales,25/5/2023,4
28,38,33869,91,Female,Operations,27/7/2020,5
29,25,53813,74,Female,Marketing,15/5/2020,2
30,59,34747,21,Female,NA,4/5/2023,3
31,53,39497,3,Female,Sales,4/7/2022,3
32,46,30174,87,Male,IT,17/9/2023,3
33,56,44265, ,Male,Marketing,26/10/2023,4
34,51,38314,51,Female,Sales,29/9/2020,1
35,39, ,55,Male,Marketing,24/11/2024,2
36,-,38009,20,Male,Sales,13/10/2023,5
37,45,19220,13,Female,HR,5/10/2022, 
38,52,35558,15,Female,HR,28/2/2020,4
39,51,32840,92,Male,Finance,5/12/2021,1
40,30,59308,77,Male,Sales,10/10/2022,2
41,58,41668,21,Female,Sales,26/5/2020,5
42,21,40738,11,Female,HR,14/8/2023,5
43,60,36463,4,Male,Finance,22/7/2023,3
44,23,25225,64,,Operations,17/10/2024,4
45,18,50484, ,Male,HR,6/3/2020,5
46,29,43905,8,Male,Marketing,11/7/2023,5
47,52,28992,17,Male,NA,10/1/2020,1
48,28,30458,67,Male,-,21/3/2024,1
49,40,45654, ,Male,Finance,16/6/2020,5
50,31,*,77,Female,NA,5/3/2023,5
51,36,37105,28,Male,,14/4/2020,4
52,-,22606,18,Female,Sales,3/2/2023,3
53,33,47802,-,Male,,8/2/2022,4
54,61,22436,19,Male,HR,21/1/2020,2
55,45,55474,72,Male,Finance,28/11/2023,5
56,62,15364,89,Male,Finance,4/9/2024,2
57,48,16440,87,Male,Sales,1/10/2022,3
58,24,53437,61,Female,Sales,31/7/2021,
59,63,45779,36,Male, ,24/6/2023,1
60,44,66823,79,Male,Sales,26/11/2022, 
61,34,41531,90,Female,IT,27/3/2024,2
62,24,61367,85,Male,Operations,19/1/2020,4
63,32,14990,52,Female,Finance,8/5/2020,3
64,57,36852,65,Female,Operations,28/10/2024,3
65,29,45238,65,Female,Marketing,28/10/2022,5
66,25,36197,57,Female,Marketing,11/3/2022,3
67,19,24434,98,-,*,23/5/2020,1
68,61,33914,18,Female,Operations,13/3/2024,3
69,55,48578,26,Female,Operations,21/8/2022,1
70,43,6730,48,Male,IT,26/6/2023,4
71,38,-,66,Female,Marketing,3/11/2021,5
72,30,48002,64,Female,Operations,31/1/2020,1
73,36,60439,90,Male,Marketing,14/3/2020,1
74,35,36888,30,Female,-,17/7/2020,*
75,19,45275,60,Female,Marketing,10/9/2023,4
76,62,41480,89,Male,IT,1/4/2023,4
77,59,35733,0,Female,HR,23/11/2020,*
78,45,0,49,,HR,17/5/2023,2
79,40,27605,2,Female,IT,29/11/2022,2
80,21,30304,40,Female,Sales,19/11/2022,4
81,21,48568,38,Female,HR,18/7/2023,3
82,29,0,50,Male,*,5/8/2020,2
83,39,29102,9,Female,Sales,8/6/2021,4
